iter	Logloss
0	0.6489989493
1	0.6118776671
2	0.5774170531
3	0.5521901537
4	0.51920042
5	0.5014385725
6	0.4774125405
7	0.4599495924
8	0.4404398624
9	0.431034655
10	0.4162843702
11	0.4031407536
12	0.3891333173
13	0.3829333709
14	0.3717561107
15	0.3644911891
16	0.3585552994
17	0.3495613876
18	0.3418436544
19	0.3378758723
20	0.3329191842
21	0.3268416509
22	0.3251633005
23	0.3211828211
24	0.3161499247
25	0.3153077785
26	0.3123429056
27	0.3086378195
28	0.3041375802
29	0.303029696
30	0.3007510825
31	0.2992903946
32	0.2963780918
33	0.2936035788
34	0.2901044742
35	0.2869352404
36	0.2847669841
37	0.2829031629
38	0.2806530035
39	0.279133254
40	0.2772983726
41	0.2763343599
42	0.2754078835
43	0.2746364057
44	0.273230269
45	0.2728267615
46	0.2723276464
47	0.2708708033
48	0.2685109661
49	0.2676190561
50	0.266452825
51	0.2654173421
52	0.2644805294
53	0.2634660265
54	0.2629222677
55	0.2627592659
56	0.2618648839
57	0.2615693576
58	0.2615570647
59	0.2607060993
60	0.2605365152
61	0.2605365126
62	0.2602796643
63	0.2592346201
64	0.2588160775
65	0.2579713132
66	0.2573568674
67	0.2570827508
68	0.2568898768
69	0.2568898743
70	0.2567968398
71	0.2566688597
72	0.2546537669
73	0.2538023925
74	0.2537675792
75	0.2528135567
76	0.2528135399
77	0.2527027643
78	0.2525527754
79	0.2518268951
80	0.250971583
81	0.2507425695
82	0.2496159367
83	0.2488173427
84	0.2486267413
85	0.2485895858
86	0.2484846322
87	0.2482168895
88	0.247643641
89	0.2474003637
90	0.247000706
91	0.2466442606
92	0.2453957238
93	0.2451405918
94	0.2448089402
95	0.2439404489
96	0.2434033382
97	0.2433450214
98	0.2424677226
99	0.2419178769
100	0.2418262982
101	0.2417840102
102	0.2410503563
103	0.2410093998
104	0.2405015434
105	0.2393450655
106	0.238626462
107	0.2376255704
108	0.2369377669
109	0.2367898431
110	0.2360717541
111	0.2358201852
112	0.235779912
113	0.2353513064
114	0.2351285644
115	0.2351182633
116	0.2350475698
117	0.2342330843
118	0.2340504917
119	0.2340015353
120	0.2331994576
121	0.2330541665
122	0.233034766
123	0.2326955004
124	0.2318555219
125	0.2312047341
126	0.2310353139
127	0.2310140554
128	0.2310010719
129	0.2302385921
130	0.2301741743
131	0.2300703183
132	0.2299718935
133	0.2293134685
134	0.229228984
135	0.2285258672
136	0.2282734305
137	0.2282733985
138	0.2279075092
139	0.2270312454
140	0.2263906078
141	0.2263489834
142	0.2261284769
143	0.225973431
144	0.2258955341
145	0.2249859553
146	0.2249821825
147	0.2247164606
148	0.2242962776
149	0.2242962715
150	0.2240368715
151	0.223723349
152	0.2237233314
153	0.2237232969
154	0.2237232939
155	0.2237017249
156	0.2231658484
157	0.2231658029
158	0.2219869615
159	0.2219864356
160	0.2219188461
161	0.2219150399
162	0.2219150095
163	0.2218861522
164	0.2218525219
165	0.2212168761
166	0.2211327406
167	0.2209450733
168	0.220353461
169	0.2199810696
170	0.2198402636
171	0.2198152042
172	0.2198078978
173	0.2195392345
174	0.2188786363
175	0.2179918797
176	0.2179917329
177	0.2179555178
178	0.2176410904
179	0.2176176518
180	0.217576094
181	0.217447903
182	0.2161963447
183	0.215904778
184	0.2156723136
185	0.2156723083
186	0.2154111299
187	0.215326398
188	0.2152853411
189	0.2143579997
190	0.2143373024
191	0.2141948936
192	0.2139101966
193	0.2137699594
194	0.2137582534
195	0.2136640139
196	0.2136076056
197	0.2134769562
198	0.2133245543
199	0.2132742233
200	0.2127550397
201	0.212320263
202	0.2123157718
203	0.2122950541
204	0.211718131
205	0.2113678158
206	0.2113582424
207	0.2113234635
208	0.2113164014
209	0.2104320242
210	0.2097916673
211	0.2096456999
212	0.209645653
213	0.2089563894
214	0.2080719431
215	0.2074550526
216	0.2074271786
217	0.2069535343
218	0.2069528535
219	0.2067132089
220	0.2057961312
221	0.2049031645
222	0.2038260772
223	0.2028748878
224	0.2020011296
225	0.2019985695
226	0.20199717
227	0.2019959092
228	0.2019947713
229	0.2009625904
230	0.2007703248
231	0.2007690669
232	0.2007661297
233	0.2004148434
234	0.2001381152
235	0.199531563
236	0.1993902434
237	0.1989724394
238	0.1984861028
239	0.197732717
240	0.1976080753
241	0.1971065583
242	0.1968361244
243	0.1967913465
244	0.1967879678
245	0.1961189901
246	0.195315576
247	0.1947561629
248	0.1938124424
249	0.1938122619
250	0.1932945394
251	0.1926185558
252	0.1919028003
253	0.1914299075
254	0.1906340043
255	0.1900265311
256	0.1895295324
257	0.1891156159
258	0.1884101139
259	0.1878895112
260	0.1873317721
261	0.1866551928
262	0.1863379666
263	0.1854215037
264	0.1854204816
265	0.1846869984
266	0.1845365969
267	0.1838063794
268	0.183280924
269	0.1827377681
270	0.1819527652
271	0.1812007656
272	0.180485278
273	0.1799721708
274	0.1798721326
275	0.1789355242
276	0.1783006112
277	0.1775621639
278	0.1770363825
279	0.1763698064
280	0.1757766457
281	0.1750659702
282	0.17429613
283	0.1738040436
284	0.1731572492
285	0.1725151673
286	0.1716269297
287	0.1710232395
288	0.1707364508
289	0.1699918773
290	0.1692663098
291	0.1686186904
292	0.1678864232
293	0.167450594
294	0.1667459386
295	0.1662794179
296	0.1655900968
297	0.1650232567
298	0.1644444966
299	0.1640918094
300	0.1635357114
301	0.1628341863
302	0.1624926236
303	0.1619316315
304	0.1613920254
305	0.160844274
306	0.160528112
307	0.1600766166
308	0.1595938734
309	0.1592154421
310	0.1588503378
311	0.1582919667
312	0.1579673143
313	0.1575322733
314	0.1569537278
315	0.1562733502
316	0.1557690995
317	0.155227485
318	0.1547942984
319	0.1545664181
320	0.1542089577
321	0.1536169156
322	0.1532176579
323	0.1527644539
324	0.152383236
325	0.1518772468
326	0.1512743749
327	0.1509348888
328	0.1505032676
329	0.1501568264
330	0.1497108324
331	0.1492822574
332	0.1487056183
333	0.1481142882
334	0.1478032359
335	0.147498391
336	0.1471482527
337	0.14665228
338	0.1462663737
339	0.1457075005
340	0.1452556702
341	0.1448382456
342	0.1444776008
343	0.144115565
344	0.1434667817
345	0.1430630085
346	0.142815811
347	0.142421161
348	0.1422061365
349	0.1417516475
350	0.1414378557
351	0.1411165659
352	0.1406787304
353	0.1403633214
354	0.1400153948
355	0.1397013162
356	0.1394134846
357	0.1391113295
358	0.1386715148
359	0.1380805198
360	0.1376795683
361	0.1372975784
362	0.1369945185
363	0.136560184
364	0.1362727964
365	0.1358006037
366	0.1356312577
367	0.1352861347
368	0.1347355695
369	0.1344573924
370	0.1341128725
371	0.1336335114
372	0.1332524494
373	0.1329752093
374	0.1327460138
375	0.1323390041
376	0.1319823075
377	0.1318354587
378	0.1314926763
379	0.1311519663
380	0.1307713761
381	0.1305513127
382	0.1302493512
383	0.1298633039
384	0.1296725001
385	0.1291936033
386	0.1286717632
387	0.1283710445
388	0.1279243327
389	0.1276115625
390	0.1273319394
391	0.126928298
392	0.1265961815
393	0.1261500814
394	0.1256688088
395	0.1252562444
396	0.1248633537
397	0.124537554
398	0.1242312656
399	0.1238089469
400	0.1234658512
401	0.1230061302
402	0.1225809692
403	0.1223541912
404	0.1221602912
405	0.1219719017
406	0.1215308187
407	0.121249555
408	0.1209645096
409	0.1206273162
410	0.1202690338
411	0.1199721831
412	0.1196019363
413	0.1193979368
414	0.119073957
415	0.1187553574
416	0.1185907194
417	0.1183295104
418	0.1178752277
419	0.117605661
420	0.1174649339
421	0.1171739112
422	0.1168977361
423	0.1165840845
424	0.1162941288
425	0.1160235384
426	0.1157732588
427	0.1155660754
428	0.1153105923
429	0.1151295112
430	0.1149332058
431	0.1148135993
432	0.1146677358
433	0.1142639521
434	0.1140133954
435	0.1137650555
436	0.1135608379
437	0.1132389686
438	0.1129937897
439	0.1126333032
440	0.1124256037
441	0.1120231205
442	0.1117012541
443	0.111403133
444	0.1110663833
445	0.1108592871
446	0.1106150256
447	0.110436715
448	0.1102240516
449	0.1100173965
450	0.1096568191
451	0.1093396777
452	0.1090641679
453	0.1088812908
454	0.108696837
455	0.108377823
456	0.1082133324
457	0.1079460644
458	0.107680444
459	0.1074116901
460	0.1071877019
461	0.1068953477
462	0.1066558507
463	0.1064718834
464	0.1062320797
465	0.1060941713
466	0.1059141324
467	0.1057015416
468	0.1054842352
469	0.1053736421
470	0.1052059701
471	0.1050661626
472	0.1048871677
473	0.1046004097
474	0.1043320214
475	0.1042315532
476	0.1040042557
477	0.1037913381
478	0.1035508024
479	0.1033105372
480	0.1031583913
481	0.1028419206
482	0.1025711678
483	0.1022891157
484	0.1021360487
485	0.1019042877
486	0.1016781776
487	0.1014694031
488	0.1013144398
489	0.1011185825
490	0.1010066189
491	0.1007809901
492	0.100642348
493	0.1005495211
494	0.1002938195
495	0.1000848481
496	0.09987384853
497	0.09977727068
498	0.09961624293
499	0.0993460796
500	0.0991849576
501	0.09901674755
502	0.09872267502
503	0.09854891845
504	0.09842491207
505	0.09821740213
506	0.09797076537
507	0.09767425497
508	0.09748516369
509	0.09737908855
510	0.09719733976
511	0.09701321663
512	0.09671760936
513	0.09659157483
514	0.09646639426
515	0.0962051936
516	0.09601107125
517	0.09581782723
518	0.09562188254
519	0.09548934287
520	0.09535518712
521	0.09511009454
522	0.09480102537
523	0.09453270305
524	0.09442680179
525	0.09427992246
526	0.09409700721
527	0.09397973771
528	0.09376452839
529	0.09355195648
530	0.09339767394
531	0.09316349451
532	0.09293326263
533	0.0927754778
534	0.0924423664
535	0.0921866747
536	0.09201276443
537	0.09172334346
538	0.0914950789
539	0.09131610903
540	0.09122531027
541	0.09104473341
542	0.09087836375
543	0.09074604192
544	0.0906068475
545	0.09047931897
546	0.09038659196
547	0.09010993022
548	0.08995624881
549	0.08985273343
550	0.08967843808
551	0.08942323511
552	0.08916396839
553	0.08911573358
554	0.08894175334
555	0.08877498285
556	0.08866379426
557	0.08855775579
558	0.08835014975
559	0.08822902781
560	0.08804366175
561	0.0879018052
562	0.08766532996
563	0.08745688259
564	0.08737406154
565	0.08724845537
566	0.08705201615
567	0.08686357734
568	0.0866592714
569	0.08652846878
570	0.08631986795
571	0.08613593036
572	0.0859504732
573	0.0858628758
574	0.08576537505
575	0.08558093162
576	0.08545295773
577	0.08536252945
578	0.08522746852
579	0.08504959229
580	0.08488433112
581	0.08479611831
582	0.08470072722
583	0.08445671851
